ID	Zip	Age	Sex	Helsinki should be an example of reducing carbon dioxide emissions	Local wind power should be produced in Helsinki	Construction of wind turbines would have a positive impact on Helsinki's image.	Construction of wind turbines would have a positive impact on the landscape of Helsinki's.	How often do you spend your free time on the shores of Helsinki?	How often do you spend your free time at the waters of Helsinki?	What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?	What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?	What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?	What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?	What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?	What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?	What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?	I would like to influence the placement of wind turbines in Helsinki	I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere	I would like to participate in the construction of wind power as an investor (eg funds, shareholdings).
321	ZIP_00800	43	m	2	2	2	-1	3	2	1	1	-1	1	1	-1	-1	2	1	-1
322	ZIP_32100	61	m	2	2	2	1	1	1	2	1	2	1	1	2	2	-1	2	-1
323	ZIP_00810	48	m	1	2	2	2	4	1	2	2	2	2	2	2	2	2	2	-1
324	ZIP_00420	40	n	2	2	2	2	3	3	2	2	2	2	2	2	2	1	2	2
325	ZIP_00560	37	n	1	2	2	2	3	1	2	2	2	1	2	2	1	1	1	-1
326	ZIP_00820	57	n	2	1	1	-1	4	1	1	1	1	1	1	-1	-1	1	-1	1
327	ZIP_00800	30	n	2	2	2	2	3	1	2	2	2	1	2	2	1	2	2	1
328	ZIP_00940	44	n	2	2	2	2	1	1	2	2	2	2	2	2	1	0	-1	2
329	ZIP_00550	54	n	2	2	2	-1	4	1	2	-2	2	2	2	-1	-2	2	-1	0
330	ZIP_00550	28	m	2	2	2	2	1	0	2	2	2	2	2	2	2	-2	2	2
331	ZIP_00270	44	m	-1	-2	0	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
332	ZIP_00820	44	n	1	2	1	1	3	2	2	2	2	0	1	0	0	1	2	0
333	ZIP_00100	33	n	2	2	2	1	4	1	1	1	2	1	1	1	1	1	2	0
334	ZIP_00100	35	m	-2	-2	-1	-2	4	3	-1	-2	-1	1	-2	1	-2	2	-1	-2
335	ZIP_84460	30	m	2	2	2	2	0	0	2	2	2	2	-1	2	2	2	2	-2
336	ZIP_00560	36	m	-1	-2	-1	-2	3	1	-1	-2	-1	-2	-1	-2	-2	2	-1	-2
337	ZIP_00100	40	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
338	ZIP_00980	54	n	1	2	2	-1	4	2	2	-2	2	-2	2	1	-2	2	1	0
339	ZIP_00540	25	m	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	1
340	ZIP_00560	68	n	2	2	1	-1	4	1	-2	-2	-1	2	1	-2	-2	1	1	-1
341	ZIP_00900	30	m	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
342	ZIP_00530	37	m	2	2	2	-1	2	2	2	2	2	2	2	2	2	-2	0	0
343	ZIP_00100	44	m	2	2	2	2	0	0	2	2	2	2	-2	-2	2	2	2	2
344	ZIP_00930	25	n	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
345	ZIP_00120	30	m	2	2	2	-1	4	1	2	2	2	-1	2	2	2	-1	2	-2
346	ZIP_00100	35	n	2	2	2	1	3	1	1	1	2	2	2	1	2	-1	2	1
347	ZIP_00640	69	m	1	-2	-2	-2	0	0	-2	-2	-2	-2	-1	-2	-2	0	-2	-2
348	ZIP_00650	47	m	2	2	2	2	3	1	2	2	2	2	2	2	1	0	1	0
349	ZIP_00530	30	m	2	2	2	2	4	4	2	2	2	2	2	2	2	-2	2	1
350	ZIP_21530	45	m	2	-2	-2	-2	1	1	-2	-2	-2	-2	-2	-1	-2	2	-2	-2
351	ZIP_00300	32	m	2	2	2	1	3	1	2	2	2	2	2	2	2	0	2	1
352	ZIP_00100	33	m	2	2	2	2	1	1	2	2	2	2	2	2	2	2	0	-2
353	ZIP_00140	30	m	2	2	2	2	4	1	2	2	2	2	2	1	1	-1	1	1
354	ZIP_15560	41	m	2	2	2	2	4	0	2	2	2	2	2	2	2	2	1	1
355	ZIP_00910	42	n	2	2	2	1	3	1	2	2	2	0	1	1	1	1	2	0
356	ZIP_00610	28	m	2	1	2	-1	2	1	1	1	-1	-1	2	1	-2	1	-1	1
357	ZIP_00220	35	m	2	2	2	2	4	3	2	2	2	2	2	2	2	1	2	2
358	ZIP_00600	35	n	2	2	2	2	4	1	2	2	2	2	2	2	1	2	2	1
359	ZIP_00200	30	n	2	2	2	2	4	2	2	2	2	2	2	1	1	2	2	1
360	ZIP_00400	37	x	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	2
361	ZIP_00820	34	n	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
362	ZIP_00790	37	m	2	2	1	-1	4	1	2	1	2	1	2	2	-1	1	1	1
363	ZIP_00510	46	m	-2	-2	-2	-2	1	1	-2	-2	-2	-2	-2	-2	-2	0	2	2
364	ZIP_00520	32	n	2	2	2	1	4	1	1	1	2	2	2	1	1	1	2	1
365	ZIP_00100	33	n	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
366	ZIP_00120	27	m	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	0
367	ZIP_00270	25	n	2	2	2	2	4	3	2	2	2	2	2	2	2	2	2	1
368	ZIP_00250	30	m	-2	-2	-2	-2	2	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
369	ZIP_00260	44	m	-2	1	-2	-2	2	3	1	-2	1	-1	2	1	-2	2	-2	-2
370	ZIP_00500	33	n	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2
371	ZIP_00200	26	m	1	-2	-2	-2	3	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
372	ZIP_00320	31	n	2	1	2	1	2	1	2	1	1	1	1	-1	-1	-1	1	1
373	ZIP_00100	48	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
374	ZIP_02230	26	m	1	-1	0	-1	1	0	1	0	1	1	1	1	1	1	-2	1
375	ZIP_00980	20	m	2	2	2	-1	1	1	1	0	2	1	1	-1	-1	2	1	1
376	ZIP_00550	47	n	2	2	2	2	3	1	2	2	2	2	2	2	1	0	0	0
377	ZIP_00550	33	m	2	2	2	2	3	1	2	2	2	2	2	2	0	2	2	2
378	ZIP_00500	43	n	2	2	2	-1	0	0	2	2	2	2	2	-1	-2	0	2	-1
379	ZIP_06400	57	m	-2	-2	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
380	ZIP_00250	31	m	2	2	2	2	4	3	2	2	1	2	2	2	0	2	2	1
381	ZIP_00120	31	m	2	2	2	2	3	3	2	2	2	2	1	2	2	2	2	1
382	ZIP_00930	26	m	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0
383	ZIP_00800	40	x	2	2	2	2	4	4	2	-1	2	2	2	2	2	1	2	2
384	ZIP_00170	17	m	2	2	1	-1	4	2	2	-1	2	-1	2	2	1	2	2	1
385	ZIP_00560	36	n	2	1	2	2	3	2	2	2	2	2	2	1	1	1	1	2
386	ZIP_00600	21	m	2	2	2	2	3	0	2	1	2	1	2	0	1	2	1	-1
387	ZIP_00600	30	m	2	2	2	1	4	1	2	-1	-1	1	2	2	-1	1	1	1
388	ZIP_00500	39	m	2	2	2	1	1	1	2	-1	2	2	2	2	1	1	2	2
389	ZIP_00150	31	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
390	ZIP_00410	45	m	-1	-2	-2	-2	2	1	-1	-2	-1	1	-2	-2	-2	2	-2	-2
391	ZIP_00880	29	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	2	1
392	ZIP_00240	21	n	2	2	2	1	4	0	2	2	2	2	2	2	1	2	1	1
393	ZIP_00790	33	n	2	2	1	-1	3	1	2	2	2	2	2	2	1	2	2	1
394	ZIP_00240	38	n	2	2	1	2	4	2	1	-1	2	2	2	1	2	1	2	-1
395	ZIP_00820	30	n	-1	-2	-2	-2	4	2	-2	-2	-2	-2	-1	-2	-2	2	-2	-2
396	ZIP_00150	28	m	1	2	2	2	3	1	1	1	2	-2	2	-1	1	1	1	1
397	ZIP_00510	29	n	2	1	2	1	3	0	2	1	2	-1	2	-1	-1	1	2	-2
398	ZIP_00940	42	m	1	2	1	1	4	1	2	2	2	1	2	1	2	1	2	1
399	ZIP_00980	31	m	2	2	2	1	4	4	1	-1	1	-1	1	-1	-2	2	1	1
400	ZIP_00120	46	m	2	2	2	2	3	2	2	2	2	2	2	2	2	1	1	-2
401	ZIP_00100	31	m	2	2	2	1	4	2	2	2	2	2	2	1	1	1	1	1
402	ZIP_00150	30	m	2	2	2	2	1	1	2	2	2	2	2	2	2	-1	2	2
403	ZIP_00120	43	m	2	2	2	2	4	2	2	2	2	2	2	1	1	1	2	-1
404	ZIP_00150	30	m	2	2	1	2	3	1	2	1	2	-1	2	1	2	2	2	2
405	ZIP_00560	32	m	2	2	2	2	4	2	2	1	2	2	2	2	1	1	2	1
406	ZIP_02230	28	m	2	2	2	2	3	1	2	2	2	2	2	1	1	2	-1	1
407	ZIP_00260	37	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	1
408	ZIP_00810	29	m	2	2	2	2	3	2	2	2	1	2	1	2	2	2	1	1
409	ZIP_00120	53	m	2	2	2	1	2	0	2	2	2	2	2	2	2	-1	2	2
410	ZIP_00350	30	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
411	ZIP_00550	24	m	2	2	1	1	2	1	2	-1	1	2	2	1	1	2	2	-1
412	ZIP_00200	33	n	2	2	2	2	4	2	2	1	2	2	2	2	2	1	2	1
413	ZIP_00510	34	n	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	1
414	ZIP_00170	47	m	2	2	2	1	4	3	1	1	2	2	2	1	1	1	2	1
415	ZIP_00250	37	m	2	2	2	2	3	1	2	2	2	2	1	1	1	2	2	1
416	ZIP_00530	28	n	2	2	2	2	4	0	2	2	2	2	2	2	2	2	2	2
417	ZIP_00500	28	n	2	2	2	2	3	1	2	2	2	2	2	2	2	-1	2	1
418	ZIP_00820	61	m	2	1	1	-1	3	0	1	1	1	2	2	-1	-2	2	1	1
419	ZIP_00430	65	n	2	1	2	-1	1	1	1	1	2	2	2	1	-1	0	0	0
420	ZIP_00800	37	n	2	2	1	1	3	1	1	1	2	1	2	1	1	1	2	2
421	ZIP_00400	32	n	2	2	2	1	3	1	2	2	2	2	2	2	2	1	1	1
422	ZIP_00360	35	m	2	-1	1	-2	4	1	-1	-1	1	-1	-1	-1	-2	1	1	-1
423	ZIP_00840	23	m	2	2	2	1	2	1	1	1	2	2	2	2	2	1	2	1
424	ZIP_00170	73	m	-2	-2	-2	-2	1	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
425	ZIP_00560	46	m	2	1	1	1	2	1	1	1	2	2	1	2	-1	2	1	0
426	ZIP_00120	38	m	2	2	2	2	4	4	2	2	2	2	2	2	2	1	2	2
427	ZIP_00750	52	m	1	2	2	1	4	1	2	1	2	2	2	1	1	-1	2	-1
428	ZIP_00910	29	n	2	2	2	2	4	1	2	2	2	2	2	2	2	0	2	-2
429	ZIP_00810	45	m	2	2	2	-1	4	4	2	2	2	2	2	2	1	2	-1	-2
430	ZIP_20660	44	m	2	2	2	2	1	1	2	2	2	2	2	2	2	-2	2	-2
431	ZIP_00200	52	n	2	2	2	1	4	1	2	-1	2	2	2	2	2	2	2	1
432	ZIP_00150	30	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
433	ZIP_00530	28	m	2	2	2	1	4	1	2	2	2	2	2	2	2	1	1	1
434	ZIP_00940	23	m	1	1	-1	-1	3	1	1	-2	-2	-2	2	-2	1	2	2	-2
435	ZIP_00810	51	n	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	1
436	ZIP_00830	29	n	2	2	2	2	4	2	2	2	2	2	2	2	1	-1	2	1
437	ZIP_00120	34	m	2	2	2	2	4	3	1	-1	2	1	2	1	1	1	2	-1
438	ZIP_00350	26	m	2	2	1	1	1	1	1	1	1	1	1	-1	1	1	0	2
439	ZIP_00120	31	m	2	2	2	2	4	4	2	2	2	2	2	2	2	1	2	2
440	ZIP_04300	58	n	2	2	2	1	4	1	2	1	2	2	2	-1	-1	1	1	-2
441	ZIP_00650	55	n	2	2	2	2	4	2	2	2	2	2	2	2	2	-2	2	-2
442	ZIP_00530	35	m	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	2
443	ZIP_00260	32	m	2	2	2	1	3	1	2	2	2	2	2	2	1	1	2	1
444	ZIP_00500	31	m	2	1	2	1	2	1	2	2	2	2	2	1	1	1	2	1
445	ZIP_00120	33	m	2	2	2	2	4	3	2	2	2	2	2	1	1	-2	2	1
446	ZIP_00580	30	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	0
447	ZIP_00730	30	n	2	1	1	-1	1	0	1	1	1	-2	1	1	1	2	-1	-1
448	ZIP_00780	44	m	2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
449	ZIP_02210	24	n	1	-1	1	-1	3	1	1	1	1	-1	1	-2	-2	1	1	0
450	ZIP_00120	35	m	-2	-2	-1	-2	4	4	-2	-2	-2	-2	-2	-2	-2	1	-2	-2
451	ZIP_00100	32	m	2	2	2	2	2	1	2	2	1	2	2	2	1	-2	1	0
452	ZIP_00210	25	n	1	1	1	1	4	1	1	1	1	1	1	1	-2	1	-2	-2
453	ZIP_00120	25	m	2	2	2	1	4	1	1	1	2	-1	1	-1	-1	1	-1	-1
454	ZIP_00790	38	m	2	2	2	2	4	1	2	2	2	2	-1	1	2	2	2	1
455	ZIP_00400	27	m	2	2	2	1	4	1	2	2	2	1	2	2	1	2	1	1
456	ZIP_00100	59	m	1	-2	-2	-2	4	1	-1	-2	-1	-1	-2	-2	-2	2	-2	-2
457	ZIP_00100	37	m	-2	-2	-1	-2	4	3	-1	-2	-2	-2	-1	-2	-2	0	-2	-2
458	ZIP_00180	29	n	2	2	2	1	4	1	2	2	2	2	2	2	2	-1	1	-2
459	ZIP_01000	60	m	-2	-2	-2	-2	2	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
460	ZIP_01650	37	m	2	2	2	-1	4	1	2	2	2	2	2	2	2	2	0	0
461	ZIP_00540	30	m	-2	-2	-1	-2	4	1	-2	-2	-2	-1	-2	-2	-2	-2	-2	-2
462	ZIP_00260	29	m	2	0	1	0	2	1	1	-2	1	0	-1	-1	-2	1	0	-1
463	ZIP_00560	29	m	2	2	2	-1	2	1	2	1	-2	-1	2	1	-1	2	2	2
464	ZIP_00610	39	n	2	2	1	-1	2	1	2	1	2	2	1	-1	-2	2	1	-2
465	ZIP_00210	41	n	2	2	2	2	4	1	2	2	2	2	2	2	2	0	1	0
466	ZIP_00170	24	n	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2
467	ZIP_60120	35	m	2	2	2	2	0	1	2	2	2	2	2	2	2	0	0	0
468	ZIP_00260	34	m	2	1	1	0	4	1	1	0	1	1	2	0	0	1	0	0
469	ZIP_00500	27	m	2	2	2	1	1	0	2	1	2	2	2	1	-1	-1	-1	2
470	ZIP_00650	68	m	2	2	2	1	3	0	2	1	1	1	2	1	-1	2	1	1
471	ZIP_65100	41	m	2	2	2	2	1	1	2	2	2	2	-1	1	2	1	-1	1
472	ZIP_00520	35	m	2	2	2	2	4	4	2	2	2	2	2	2	1	1	2	1
473	ZIP_00220	37	m	1	-1	-1	-2	4	1	-1	-1	0	-1	-2	-2	-2	2	-1	-1
474	ZIP_00220	55	n	2	2	2	2	4	1	2	2	2	2	2	1	-1	2	2	-1
475	ZIP_00900	32	n	1	-2	-2	-2	3	1	-1	-2	-2	-2	1	-1	-2	2	-2	-2
476	ZIP_00270	35	m	2	2	2	1	3	1	2	2	2	2	2	2	1	1	2	1
477	ZIP_00180	30	m	2	1	1	1	4	1	1	2	2	1	2	2	2	-1	-1	1
478	ZIP_00200	27	m	2	2	2	2	3	1	2	2	2	2	2	1	2	1	1	1
479	ZIP_00210	43	m	2	2	2	0	4	4	1	-1	-1	1	-1	-1	-2	1	-1	-1
480	ZIP_00630	35	m	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2
481	ZIP_00550	51	m	2	2	2	-1	4	1	1	-1	1	0	2	-2	-2	1	1	0
482	ZIP_00200	35	x	2	2	2	2	4	3	2	2	2	2	2	1	1	1	2	2
483	ZIP_00320	38	m	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	-1
484	ZIP_00310	23	x	2	2	2	2	2	1	2	1	2	2	2	1	1	0	1	0
485	ZIP_00840	42	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	1
486	ZIP_00920	64	m	2	2	2	1	3	4	2	2	2	2	2	1	1	1	1	2
487	ZIP_00170	55	n	2	2	2	1	4	3	2	2	2	2	2	-1	-1	1	2	1
488	ZIP_00140	36	n	2	2	2	-2	4	2	1	-1	1	2	2	1	1	2	1	1
489	ZIP_00550	36	n	2	2	2	2	4	1	2	2	2	2	2	-1	1	2	2	1
490	ZIP_00100	23	n	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
491	ZIP_00510	54	m	2	2	2	-1	3	1	2	1	2	2	2	1	1	1	2	1
492	ZIP_00790	38	n	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2
493	ZIP_00700	27	n	2	2	2	1	1	0	2	2	2	1	2	1	1	1	2	1
494	ZIP_00760	32	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	-1
495	ZIP_00920	64	m	1	2	2	1	4	1	2	-1	2	2	2	-1	-2	1	2	-1
496	ZIP_00800	31	m	2	2	2	1	4	3	2	2	1	1	2	2	1	1	2	2
497	ZIP_00150	40	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
498	ZIP_00750	37	m	-2	-2	-1	-2	3	1	1	-2	1	-2	-2	-2	-2	2	-2	-2
499	ZIP_00530	33	m	2	2	2	2	4	4	2	2	2	2	2	2	1	2	2	1
500	ZIP_00100	39	m	2	2	2	2	4	0	2	2	2	2	1	2	2	-2	2	1
501	ZIP_07190	42	m	1	1	1	1	3	1	1	-1	1	1	-1	-1	-1	1	-2	-2
502	ZIP_00330	30	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	1	0
503	ZIP_00760	33	m	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	1
504	ZIP_00710	24	m	1	-2	-2	-2	1	0	-1	-2	-1	-1	-1	-2	-2	1	-1	-2
505	ZIP_32200	34	m	1	-2	-1	-2	4	2	0	-2	-1	-1	-2	-2	-2	2	-2	-2
506	ZIP_00130	50	m	2	2	2	2	3	1	2	-1	2	2	1	2	2	1	1	0
507	ZIP_00640	31	m	-1	-2	-1	-2	3	1	-1	-2	1	2	-2	-2	-2	1	-2	-1
508	ZIP_00250	37	m	2	2	-2	-2	1	1	2	2	2	2	2	2	2	2	2	2
509	ZIP_00530	29	n	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	1
510	ZIP_00200	35	m	2	2	2	1	4	1	2	2	2	2	2	1	1	1	1	1
511	ZIP_00120	41	m	2	2	2	2	4	3	2	2	2	2	2	2	2	2	1	1
512	ZIP_00010	1	n	2	-2	-2	-2	3	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
513	ZIP_00550	51	m	2	2	1	0	3	1	0	0	1	0	1	1	0	1	0	-1
514	ZIP_00210	65	n	1	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
515	ZIP_00320	32	m	1	2	2	1	3	1	1	0	1	2	2	1	0	2	0	0
516	ZIP_00550	29	m	2	2	2	2	2	1	2	2	2	2	2	2	-2	2	-2	-2
517	ZIP_00550	39	m	-2	-2	-2	-2	3	3	-2	-2	-1	-2	-1	-2	-2	2	-2	-2
518	ZIP_00140	60	n	-1	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	2
519	ZIP_00260	25	n	2	2	2	1	3	1	2	1	2	2	2	2	-1	-1	1	-1
520	ZIP_00610	40	m	-2	-2	1	-2	2	1	-1	-1	-1	-1	-2	-2	-2	2	-2	-2
521	ZIP_00170	32	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
522	ZIP_00520	31	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	1
523	ZIP_00120	34	n	2	2	2	2	0	0	2	2	2	2	2	2	2	1	2	2
524	ZIP_00510	38	m	2	2	2	2	2	3	2	2	2	2	2	2	2	2	1	1
525	ZIP_00200	32	n	2	2	2	2	4	3	2	2	2	2	2	2	2	-1	2	2
526	ZIP_00500	33	m	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1
527	ZIP_00120	32	m	2	2	0	-1	3	1	1	1	1	1	2	2	-1	1	1	2
528	ZIP_00500	27	m	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1
529	ZIP_08004	31	n	2	2	2	1	1	1	2	2	2	2	2	2	2	0	2	0
530	ZIP_07190	46	n	2	2	2	1	2	0	1	1	2	2	2	2	2	-2	1	1
531	ZIP_00260	35	m	2	2	2	2	4	3	2	2	2	2	2	2	2	1	2	2
532	ZIP_00320	44	m	-2	-2	-1	-2	3	1	-1	-2	1	-1	1	-2	-2	2	-2	-2
533	ZIP_00180	9	m	2	1	0	1	2	1	1	1	2	2	1	-1	1	1	1	-2
534	ZIP_00750	37	m	2	2	2	2	1	1	2	2	2	2	2	2	2	-1	1	-1
535	ZIP_00820	34	m	2	2	2	1	3	0	1	1	2	2	1	0	0	0	2	1
536	ZIP_00330	54	m	1	1	1	-1	4	1	1	-1	1	1	2	1	-1	0	-1	-1
537	ZIP_00980	39	m	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	2
538	ZIP_00920	63	n	2	2	2	1	4	2	2	2	1	0	2	2	1	2	1	0
539	ZIP_00100	21	n	2	2	2	2	3	2	2	2	2	2	2	1	1	1	2	1
540	ZIP_00180	42	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	2
541	ZIP_02100	40	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
542	ZIP_00980	36	n	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2
543	ZIP_00510	35	n	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	1
544	ZIP_00100	9	m	2	1	0	1	2	2	1	0	0	1	2	1	-1	-1	0	0
545	ZIP_00100	30	m	2	2	2	2	3	3	2	2	2	2	1	1	2	1	2	2
546	ZIP_00250	24	m	2	2	2	2	4	1	2	2	2	2	2	2	2	0	1	1
547	ZIP_00910	42	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	2	-2
548	ZIP_00100	38	m	2	2	2	-1	2	1	2	2	2	2	2	2	1	2	1	-1
549	ZIP_00640	40	m	2	1	2	1	2	1	1	1	2	1	2	1	1	-1	1	1
550	ZIP_00390	50	m	1	1	-1	-2	4	1	-1	-1	1	-2	1	-2	-1	2	-1	-2
551	ZIP_00210	36	n	2	2	2	2	4	2	2	2	2	2	2	2	2	2	1	1
552	ZIP_00530	43	m	-2	-2	-2	-2	3	3	-2	-2	-2	-2	-1	-2	-2	2	-2	-2
553	ZIP_00550	26	n	2	0	1	-2	4	0	1	0	2	1	2	-2	-1	2	2	0
554	ZIP_00530	43	n	2	2	2	1	3	1	2	2	2	2	2	2	1	0	2	-2
555	ZIP_00970	37	n	2	2	2	2	1	1	2	2	2	2	2	2	2	-2	2	0
556	ZIP_00940	26	m	1	-2	-2	-2	1	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
557	ZIP_87100	34	m	2	2	2	2	1	1	2	2	2	2	2	2	2	-1	-1	1
558	ZIP_00160	69	n	2	2	2	2	1	0	2	2	2	2	2	2	2	-2	0	0
559	ZIP_78500	15	m	2	2	2	1	0	0	2	2	2	2	2	2	2	-1	2	-1
560	ZIP_00530	68	m	1	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
561	ZIP_00810	51	m	2	1	2	1	4	3	2	2	1	1	2	1	1	0	0	0
562	ZIP_00760	45	n	2	2	1	0	1	0	1	1	2	0	1	0	0	0	2	1
563	ZIP_00200	33	n	2	1	2	-1	4	1	2	1	1	2	1	-1	-2	2	2	-1
564	ZIP_00800	30	m	2	1	2	0	3	2	1	1	1	2	2	0	1	-1	0	1
565	ZIP_00170	25	n	2	2	2	1	4	2	2	1	2	2	2	-1	1	2	1	-2
566	ZIP_00500	33	n	2	2	2	1	3	1	2	1	2	2	2	1	-1	2	2	1
567	ZIP_00560	21	n	2	1	2	-1	2	2	1	1	2	1	2	1	-1	1	1	-2
568	ZIP_00130	34	m	1	1	1	-1	4	4	1	1	2	1	2	1	-2	1	-2	0
569	ZIP_00790	44	m	2	2	2	2	4	2	2	2	2	2	2	1	2	2	2	2
570	ZIP_00680	60	n	-1	2	2	2	4	3	2	2	2	1	2	2	2	2	2	-1
571	ZIP_00330	24	m	1	1	2	-1	4	2	1	1	2	1	2	1	-1	2	1	1
572	ZIP_00120	55	m	-1	-1	-1	-2	3	1	-1	-1	-1	-1	-1	-1	-1	1	-2	-1
573	ZIP_00560	23	n	2	2	2	2	3	1	2	2	2	2	2	2	2	-2	1	-1
574	ZIP_00920	42	n	2	2	2	1	4	1	2	1	2	2	2	1	1	1	2	2
575	ZIP_00910	47	n	2	2	2	1	4	1	2	1	2	1	2	-1	-1	1	1	0
576	ZIP_70500	33	m	-2	-2	-2	-2	1	1	-1	-2	-1	-2	1	-2	-2	2	-2	-2
577	ZIP_90530	29	n	2	2	2	1	1	0	2	2	2	2	2	2	2	1	2	0
578	ZIP_00900	39	m	2	1	0	-2	2	1	-2	-2	-1	-2	1	-2	-2	2	-1	1
579	ZIP_00100	45	m	2	2	2	2	4	3	2	2	2	2	2	2	2	-2	2	-1
580	ZIP_00570	26	m	0	2	2	2	4	1	2	2	2	2	2	2	2	-1	-2	1
581	ZIP_00550	50	m	-2	-2	1	1	2	1	1	1	-2	-1	1	1	1	-2	-2	-2
582	ZIP_00330	32	m	2	2	2	1	4	1	2	2	2	2	2	2	2	1	1	1
583	ZIP_00430	62	m	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
584	ZIP_00120	45	m	2	-2	-1	-2	4	1	-1	-1	-1	-1	1	-2	-2	2	-2	-2
585	ZIP_00620	40	n	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1
586	ZIP_00840	43	n	2	2	2	2	4	2	2	2	2	2	2	2	2	-1	2	-2
587	ZIP_00740	38	n	2	2	2	1	2	1	1	1	2	1	2	1	2	1	2	0
588	ZIP_02230	34	n	2	1	1	-1	3	2	1	-2	2	2	1	-1	-2	1	1	1
589	ZIP_00640	48	n	2	2	1	1	2	1	2	2	2	2	2	1	1	2	1	-1
590	ZIP_02330	51	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
591	ZIP_00100	49	n	2	2	2	2	3	1	2	2	2	2	2	-1	-1	1	2	1
592	ZIP_00500	33	m	2	2	2	2	4	1	2	1	2	2	2	2	2	2	1	0
593	ZIP_00300	35	n	2	2	2	1	4	2	2	2	2	2	2	2	2	-1	2	2
594	ZIP_00250	58	n	2	1	2	1	4	1	2	2	2	2	2	2	2	-2	2	0
595	ZIP_00820	16	x	2	2	2	2	4	0	2	2	2	2	2	2	1	1	1	1
